ds,y
2017-08-01,2008
2017-09-01,2008
2017-10-01,2008
2017-11-01,2008
2017-12-01,2008
2018-01-01,2215
2018-02-01,2215
2018-03-01,2215
2018-04-01,2215
2018-05-01,2215
2018-06-01,2215
2018-07-01,2215
2018-08-01,2215
2018-09-01,2215
2018-10-01,2215
2018-11-01,2215
2018-12-01,2215
2019-01-01,3308
2019-02-01,3308
2019-03-01,3308
2019-04-01,3308
2019-05-01,3308
2019-06-01,3308
2019-07-01,3308
2019-08-01,3308
2019-09-01,3308
2019-10-01,3308
2019-11-01,3308
2019-12-01,3308
2020-01-01,4
2020-02-01,4
2020-03-01,4
2020-04-01,4
2020-05-01,4
2020-06-01,4
2020-07-01,4
2020-08-01,4
2020-09-01,4
2020-10-01,4
2020-11-01,4
2020-12-01,4
2021-01-01,2
2021-02-01,2
2021-03-01,2
2021-04-01,2
2021-05-01,2
2021-06-01,2
2021-07-01,2
2021-08-01,2
2021-09-01,2
2021-10-01,2
2021-11-01,2
2021-12-01,2
